Unnamed: 0,Body,Label
1050,"How would you like a Top Rated Law Firm working for you, your family and your business for only pennies a day?
   
CLICK HERE
http://211.78.96.11/legalservices/
   
Get full details on this great service! FREE!
   
Whether it's a simple speeding ticket or an extensive child custody case, we cover all areas of the legal system.
   
 * Court Appearances on Your Behalf
 * Unlimited Phone Consultations
 * Review of ALL Your Legal Documents & Contracts
 * Take Care of Credit Problems
   
And that is just the beginning!
 
CLICK HERE
http://211.78.96.11/legalservices/
to get full details on this great service!
   
   
   
   
   
**********************************************
Simple Removal instructions:
To be removed from our in-house list simply visit
http://211.78.96.11/removal/remove.htm
Enter your email addresses to unsubscribe.",1
1051,"FROM: DR. BEN KOKORICompliments of the season.  I would like to firstly send to you the best wishes of good health and success in your pursuits particularly through my proposal as Contained in this letter.  Before going into details of my proposal to you, I must first implore you to treat with the utmost confidentiality, as this is required for its success. My colleagues and I are senior officials of the Federal Government of Nigeriaï¿½s Contracts Review Panel (CRP) who are interested in diverting some funds that are presently floating in the accounts of the Central Bank of Nigeria. In order to commence this transaction, we solicit for your assistance to enable us transfer into your nominated account the said floating funds. We are determined to conclude the transfer before the end of this quarter of 2002. The source of the funds is as follows: During the last military regime in Nigeria, government Officials set up companies and awarded themselves contracts that were grossly over-invoiced in various ministries and parastatals. The present civilian government set up the contract Review Panel, which has the mandate to use the instruments of payments made available to it by the decree setting up the panel, to review these contracts and if necessary pay those who are being owed outstanding amounts. My colleagues and I have identified quite a huge sum of these funds which are presently floating in the Central Bank of Nigeria ready for disbursement and would like to divert some of it for our own purposes. However, by virtue of our positions as civil servants !
and members of this panel, we cannot acquire these funds in our names or in the names of companies that are based in Nigeria. I have therefore been mandated, as a matter of trust by my colleagues in the panel, to look for a reliable overseas partner into whose account we can transfer the sum of U.S.$25,500,000.00 (Twenty Five million, five hundred thousand U.S.dollars). That is why I am writing you this letter.
We have agreed to share the money to be Transferred into your account, if you agree with our proposition as follows;  (i) 20%to the account owner (you). ( ii) 70% for us (the panel officials   (iii)10% to be used in settling all expenses(by both you and us) incidental to the actualization of this project.We wish to invest our share of the proceeds of this project in foreign stock markets and other business till we are ready and able to have access to them without raising any eyebrows here at home. Please note that this transaction is 100% safe and risk-free. We
Intend to effect the transfer within fourteen (14) banking days from the date of receipt of the following information through the fax number stated above_-:Your Bank's name, Companyï¿½s name, address, telephone and fax numbers and the account number into which  the funds should be paid. The above information will enable us write letters of claim and job description respectively. This way, we will use your companyï¿½s name to apply for the payment and backdate the award of the contract to your company. We are looking forward to doing this transaction with you and we solicit for your utmost confidentiality in this transaction. 
Please acknowledge the receipt of this letter using my direct Telephone number 234 1775 5791 and my America Internet Fax number 240 744 0416 or 801 516 7986 only.
It was acquired for the purpose of confidentiality. I will bring you into a more detailed picture of this transaction when I hear from you.Best regards,BEN KOKORI
                                                                                                                  ",1
1052,"Do you Have an Epson or Canon Printer?
Â 
Â 
        Do
        you Have an Inkjet or Laser Printer?Yes? Then we can SAVE
        you $$$ Money!
Our High Quality Ink & Toner Cartridges come
        with a money-back guarantee, a 1-year
        Warranty*, and get FREE SHIPPING
        on ALL orders!
and best of all...They Cost
         30-70%  Less        than
        Retail Price!*Click here
        to visit Our Website!*or Call us Toll-Free @
        1-800-758-8084!
*90-day warranty on all remanufactured
        cartridges.Â 
Â 
You
                are receiving this special offer because you have provided
                permission to receive email communications regarding special
                online promotions or offers. If you feel you have received this
                message in error, or wish to be removed from our subscriber
                list, Click HERE
                and you will be removed within less than three business days.
                Thank You and sorry for any inconvenience.
",1
1053,"Copy any DVD now!Copy Any DVD Movie Using Your CD 
Burner Now!Copy DVD Now makes it 
possible to copy
DVD on CD-R using your Computer's 
CD Burner.
You may now copy DVD movie with just one click.We provide latest and easiest Method that eliminates the 
use 
of conventional DVD copying equipments in DVD burning 
process.
This method uses advanced DVD rippers. 
 Copy DVD movies to CD-R, 
encode DVD
to VCD, SVCD, XVCD or XSVCD and even create your own 
chapters. 
 All you need is DVD 
ROM, CD Burner and Blank 
CD's. 
Why spend thousands of 
dollars on conventional 
DVD copying equipment when you may burn and copy DVD's right from 
your Computer's 
CD Burner.
You 
Can Copy Any DVD To CD - You Get Manual And Software 
Both Copy your DVD(PAL or NTSC) to CD using your CD burner
Make backup copy of DVD to CD-R or CD-RW
Play movie from computer, computer to TV or on 
any standard DVD Player
Make backup of your entire DVD collection
Make VCD, SVCD, XVCD or XSVCD in  ONE CLICK 
only.
 You may even fit entire DVD on one CD!
Create Chapters or time intervals on VCD or SVCDNo need of having 6-8 GB Free hard disk space!
What You Get In The 
PackageOur interactive Manual will walk you through the entire 
process of 
copying DVD as VCD, SVCD, XVCD or XSVCD.
You will be ripping DVD's and burning them to CD's like a 
Pro once 
you have gone through this easy to follow manual. We have 
also included 
screenshots for additional clarity to use. 
Instant downloadable access to the software. Stop waiting 
for the product to arrive 
in mail. 
Everything is provided to help you start copying your DVD's 
right 
away! All you need to have is DVD ROM, CD Burner and few 
blank CD's! 
That's it. No DVD burner or DVD copying equipment is 
required! 
And that's not all! If you buy it now you get FREE 
updates 
and upgrades for LIFE! Plus other bonuses. You get everything needed 
to right 
away start
copying and burning your DVD to CD. INSTANT DOWNLOAD!  
Win95/98/ME/NT/2000/XP Compliant LIMITED TIME OFFER!!! ONLY 
$39.95To order the DVD Burner right now for the super low price of only 
$39.95
with a Visa or Mastercard,
just fill out the order form below. 
FREE 
Bonus # 1
 Buy 
Today and you get FREE updates for LIFE!
 If you buy our package now, we will provide you upgrades 
and updates 
to all future versions of CopyDVD Now ABSOLUTELY FREE!!
 
This offer alone will save you tons of money for future 
upgrades and 
keep you updated with the technology. 
A 
real win win situation!!
 
 FREE 
Bonus # 2
Introducing a new technology that
PC Magazine calls ""revolutionary"" and The New York Times 
calls ""ingenious.""
Access 
and control your PC from anywhere in the world 
 
  with almost any operating 
system. Begin working on your host computer as if you were 
sitting 
in front of it. This
product is the CNET Editors' Choice pick for remote 
access, and they say 
""you'd be nuts not to sign up""
You get FREE 30 day trial when you buy our package of 
copydvdnow today.More InfoJoin our mailing list to be first to know about fresh 
quality
programs and utilities. Our list includes selected, tested and
quality freeware, shareware and other software only.  
*Legal Disclaimer*  
It is illegal to make copies of copyright material for the purpose 
of 
selling it to third party. Law provides you to make one back up 
copy for 
personal use. We do not encourage or promote piracy. This program 
is not 
meant for those who intend to break copy right law and indulge in 
illegal 
activities. This program serves merely as a guide to help end user 
to 
backup his personal DVD's. All applications suggested in this 
package are 
not sold as a part of this kit but are freeware and can be 
downloaded for 
free. By purchasing this package you agree to this disclaimer and 
also 
agree to use it in most ethical manner. You agree to waive all 
liabilities 
associated with this program to the provider and associates.
  
Â© copydvdnow.com All rights ReservedOrder Today .. Satisfaction is GUARANTEED or your money back!
Only
$39.95!
Order 
FormippingFirst Name:Last Name:Street Address:City, State, Zip: 
, 
Company: E-Mail: Phone: Comments:
Credit Card Type: (vvvv wwww
xxxx yyyy zzzz)
VisaMastercard 
Card Number:Expiration Date: 
 3121wkca6-841pMNzl16",1
1054,"
The United States has a program, called Diversity Immigrant Visa
Lottery (better known as the Green Card Lottery), making available
each year by random selection 50,000 permanent residence visas
(Green Cards) to people from around the world. The objective of the
program is to issue Green Cards to individuals born in countries with
historically low levels of immigration to the United States.
A Green Card is a Permanent Residence Visa of the U.S.A. A Green Card
will give you legal right to work and live permanently in the United
States. Green Card holders receive health, education, and several other
benefits. If you win a Green Card, you can apply for U.S. Citizenship at
a later time. The Green Card does not affect your present citizenship.
You and your family could be lucky winners!
Your email address was obtained from a purchased list, Reference # 00193.  If you wish to unsubscribe
from this list, please Click Here.
If you have previously unsubscribed and are still receiving this message, you may email our
Abuse Control Center, or call 1-888-763-2497,
or write us at: NoSpam, 6484 Coral Way, Miami, FL, 33155.",1
1055,"
Hello, jm@netnoteinc.comHuman Growth Hormone Therapy
Lose weight while building lean muscle massand reversing the ravages of aging all at once.
 Remarkable discoveries about Human Growth Hormones (HGH) are changing the way we think about aging and weight loss.
Lose WeightBuild Muscle ToneReverse Aging
Increased LibidoDuration Of Penile ErectionHealthier Bones
Improved MemoryImproved skinNew Hair GrowthWrinkle Disappearance Visit 
Our Web Site and Learn The Facts: Click HereYou are receiving this email as a subscriberto the Opt-In America Mailing List. 
To remove yourself from all related maillists,just Click Here
",1
1056,"Learch			Sincerely,
			Your New Offers Staff
			
",1
1057,"Â Increase
      Your Gas Mileageby up to 27%
      !!
* No TOOLS
      required!Â * Improves Power* Maximizes Energy
      * Improves MileageÂ * Improves TorqueÂ 
      * Cleaner EngineÂ * Smoother EngineÂ 
      * Reduces Emissions by 43%Â * Protects Catalytic ConvertersÂ * Prevents Diesel GellingÂ 
      * Improves Spark Plug LifeÂ * Maintenance Free* Pays for Itself within 60 days!
Installs
      in Seconds!A simple device that easily snaps over your fuel line.Â  Anyone can do it!
Guaranteed!
FULL REFUND if you are not satisfied with the result within THREE MONTHS from the date of purchase.
CLICK
      HEREHOW TO
UNSUBSCRIBE:
You received this e-mail because you are registered at one of our Web sites, or
on one of our partners' sites.
Â If you do not want to receive partner e-mail offers, or any email
marketing from us please click
here.
 [TE^3247(^(PO1:KJ)_8J7BJK9^"":}H&*TG0BK5NKIYs5]",1
1058,"As seen on NBC, CBS, CNN, and even Oprah! The health 
discovery that actually reverses aging while burning fat, 
without dieting or exercise! This proven discovery has even 
been reported on by the New England Journal of Medicine. 
Forget  aging and dieting forever! And it's Guaranteed!   Click here:
http://66.231.133.205/hgh/index.html Would you like to lose weight while you sleep!
No dieting!
No hunger pains!
No Cravings!
No strenuous exercise!
Change your life forever! 100% GUARANTEED!1.Body Fat Loss            82% improvement.
2.Wrinkle Reduction     61% improvement.
3.Energy Level              84% improvement.
4.Muscle Strength         88% improvement.
5.Sexual Potency         75% improvement.
6.Emotional Stability      67% improvement.
7.Memory                      62% improvement.***********************************************************You are receiving this email as a subscriber
to the Opt-In America Mailing List. 
To unsubscribe from future offers,
just click here:
mailto:affiliateoptout@btamail.net.cn?Subject=offarah
",1
1059,"PUBLIC ANNOUNCEMENT:The new domain names are finally available to the general public at discount prices. Now you can register one of the exciting new .BIZ or .INFO domain names, as well as the original .COM and .NET names for just $14.95. These brand new domain extensions were recently approved by ICANN and have the same rights as the original .COM and .NET domain names. The biggest benefit is of-course that the .BIZ and .INFO domain names are currently more available. i.e. it will be much easier to register an attractive and easy-to-remember domain name for the same price.  Visit: http://www.affordable-domains.com today for more info.
 
Register your domain name today for just $14.95 at: http://www.affordable-domains.com. Registration fees include full access to an easy-to-use control panel to manage your domain name in the future.
 
Sincerely,
 
Domain Administrator
Affordable Domains
To remove your email address from further promotional mailings from this company, click here:
http://www.centralremovalservice.com/cgi-bin/domain-remove.cgi
07
5027ReYo8-086zKcv4695tdvr3-511Ilir9233WYsO9-473Auor9338JQXz2-3l58",1
